Time,Equity
2025-12-29 09:39:19,9169.62560565
2025-12-29 09:54:19,9578.52515558
2025-12-29 10:09:18,9616.13505368
2025-12-29 10:18:08,9588.77655526
2025-12-29 10:33:08,9588.7564773
2025-12-29 10:48:08,9579.84090418
2025-12-29 11:03:08,9592.02406626
2025-12-29 11:18:08,9583.19039642
2025-12-29 11:33:08,9589.52990957
2025-12-29 11:48:08,9578.05123801
2025-12-29 12:03:08,9586.89213705
2025-12-29 12:18:08,9586.55464517
2025-12-29 12:33:08,9591.11439937
2025-12-29 12:48:08,9601.17452069
2025-12-29 13:03:07,9602.20301209
2025-12-29 13:18:07,9608.76665629
2025-12-29 13:33:08,9612.75317281
2025-12-29 13:48:08,9618.19123433
2025-12-29 14:03:07,9629.16971285
2025-12-29 14:18:08,9621.56527837
2025-12-29 14:33:08,9620.39077249
2025-12-29 14:48:07,9626.44566477
2025-12-29 15:03:08,9620.31949413
2025-12-29 15:48:08,9623.42318185
2025-12-29 16:18:08,9599.45040261
2025-12-29 16:33:08,9593.92662041
2025-12-29 16:48:08,9597.82975057
2025-12-29 17:03:07,9609.1289964
2025-12-29 17:18:08,9608.14529964
2025-12-29 17:33:08,9622.72492976
2025-12-29 17:48:08,9666.8581152
2025-12-29 18:03:08,9660.06370944
2025-12-29 18:18:08,9661.79814272
2025-12-29 18:33:08,9661.3519612
2025-12-29 18:48:07,9659.05848896
2025-12-29 19:03:08,9671.47304796
2025-12-29 19:18:09,9670.59230812
2025-12-29 19:33:08,9672.66896892
2025-12-29 19:48:07,9675.0707286
2025-12-29 20:03:08,9675.02825636
2025-12-29 20:18:07,9689.67683993
2025-12-29 20:33:08,9690.00701001
2025-12-29 20:48:07,9690.45173565
2025-12-29 21:03:07,9689.77481085
2025-12-29 21:18:08,9689.90347093
2025-12-29 21:33:07,9689.92873369
2025-12-29 21:48:08,9690.70649905
2025-12-29 22:03:08,9691.34472377
2025-12-29 22:18:08,9692.19889141
2025-12-29 22:33:07,9694.04207585
2025-12-29 22:48:08,9693.784198
2025-12-29 23:03:08,9693.11734528
2025-12-29 23:18:07,9694.3610904
2025-12-29 23:33:07,9694.4656822
2025-12-29 23:48:08,9694.18438596
2025-12-30 00:03:08,9695.07521629
2025-12-30 00:18:07,9693.60701407
2025-12-30 00:33:07,9691.23283079
2025-12-30 00:48:08,9694.25859655
2025-12-30 01:03:08,9695.88657715
2025-12-30 01:18:08,9695.29286259
2025-12-30 01:33:09,9693.88952615
2025-12-30 01:48:07,9695.42005799
2025-12-30 02:03:08,9696.04650339
2025-12-30 02:18:09,9695.48768095
2025-12-30 02:33:07,9695.34346354
2025-12-30 02:48:08,9694.18500022
2025-12-30 03:03:08,9691.9579051
2025-12-30 03:18:08,9693.61416134
2025-12-30 03:33:08,9693.55277366
2025-12-30 03:48:09,9692.53176154
2025-12-30 04:03:08,9693.0396907
2025-12-30 04:18:08,9694.0228665
2025-12-30 04:33:09,9692.57081538
2025-12-30 04:48:09,9691.8241689
2025-12-30 05:03:07,9693.11637362
2025-12-30 05:18:08,9693.57799074
2025-12-30 05:33:08,9693.4433713
2025-12-30 05:48:08,9693.8341445
2025-12-30 06:03:08,9693.13642746
2025-12-30 06:18:09,9693.2051909
2025-12-30 06:33:08,9693.6835641
2025-12-30 06:48:08,9693.81158124
2025-12-30 07:03:08,9693.5000886
2025-12-30 07:18:08,9693.7868862
2025-12-30 07:33:09,9693.37461796
2025-12-30 07:48:08,9693.25493996
2025-12-30 08:03:08,9694.30231496
2025-12-30 08:18:09,9694.33026624
